id,year,name,consecutive_number,government_body_id,m_code,ministry,org_number,head_count,annual_work_head_count,vat,comment
5483,2022,"Forskningsrådet för miljö, areella näringar och samhällsbyggande",1269,FORMAS,FORMAS,Miljödepartementet,202100-5232,89,86,Rätt till kompensation,""
5267,2021,"Forskningsrådet för hälsa, arbetsliv och välfärd",1268,FORTE,FORTE,Socialdepartementet,202100-5240,38,36,Rätt till kompensation,""
5960,2024,Kärnavfallsfonden,1240,KAFS,KAFS,Klimat- och näringslivsdepartementet,202100-4904,0,0,Rätt till kompensation,Kärnavfallsfonden har ingen personal. Administrationen sköts av Kammarkollegiet.
5577,2022,Myndigheten för ungdoms- och civilsamhällesfrågor,1141,MUCF,MUCF,Kulturdepartementet,202100-1173,104,92,Rätt till kompensation,""
2272,2007,Överklagandenämnden för studiestöd,1272,OKS,OKS,Utbildningsdepartementet,202100-5273,14,14,Rätt till kompensation,""
821,2002,Högskolan i Trollhättan/Uddevalla,1186,HTU,HTU,Utbildningsdepartementet,202100-4052,0,0,Ja,""
1265,2004,Affärsverket svenska kraftnät,1204,SVK,SVK,Miljö- och samhällsbyggnadsdepartementet,202100-4284,0,0,Nej,""
6330,2026,Ekobrottsmyndigheten,1245,EBM,EBM,Justitiedepartementet,202100-4979,530,495,Rätt till kompensation,""
5816,2023,Rättsmedicinalverket,1193,RMV,RMV,Justitiedepartementet,202100-4227,540,486,Rätt till kompensation,""
387,2000,Länsstyrelsen i Östergötland,1021,LOGTL,LOGTL,Finansdepartementet,202100-2270,0,0,Rätt till kompensation,""
3261,2012,Energimarknadsinspektionen,1342,EMI,EMI,Näringsdepartementet,202100-5695,88,84,Rätt till kompensation,""
1845,2006,Justitiekanslern,1035,JK,JK,Justitiedepartementet,202100-0035,20,20,Rätt till kompensation,""
2568,2009,Försäkringskassan,1325,FK,FK,Socialdepartementet,202100-5521,13030,12568,Rätt till kompensation,""
506,2000,Turistdelegationen,1236,TD,TD,Näringsdepartementet,202100-4425,0,0,Rätt till kompensation,""
6131,2025,Försvarets radioanstalt,1079,FRA,FRA,Försvarsdepartementet,202100-0365,0,0,Rätt till kompensation,""
33,1999,Domstolsverket,1143,DOM,DOM,Justitiedepartementet,202100-2742,0,0,Rätt till kompensation,""
2295,2008,Datainspektionen,1135,DIN,DIN,Justitiedepartementet,202100-0050,39,39,Rätt till kompensation,""
3946,2015,Exportkreditnämnden,1074,EKN,EKN,Utrikesdepartementet,202100-2098,157,141,Rätt till kompensation,""
1682,2005,Revisorsnämnden,1231,RN,RN,Justitiedepartementet,202100-4805,17,16,Rätt till kompensation,""
1027,2003,Blekinge tekniska högskola,1185,BTH,BTH,Utbildningsdepartementet,202100-4011,0,0,Ja,""
3098,2011,Läkemedelsverket,1187,LV,LV,Socialdepartementet,202100-4078,610,554,Rätt till kompensation,""
983,2002,Styrelsen för ackreditering och teknisk kontroll,1173,SWEDAC,SWEDAC,Utrikesdepartementet,202100-3815,0,0,Rätt till kompensation,""
351,2000,Kungliga Biblioteket,1028,KB,KB,Utbildningsdepartementet,202100-1710,0,0,Ja,""
1232,2003,Steriliseringsersättningsnämnden,1260,SEN,SEN,Socialdepartementet,202100-5109,0,0,Rätt till kompensation,Myndigheten avslutad 2003-12-31
3901,2014,Södertörns högskola,1234,SH,SH,Utbildningsdepartementet,202100-4896,828,649,Rätt till kompensation,""
6299,2025,Transportstyrelsen,1348,TS,TS,Landsbygds- och infrastrukturdepartementet,202100-6099,2285,2105,Rätt till kompensation,""
2106,2007,Konstnärsnämnden,1145,KN,KN,Kulturdepartementet,202100-3252,13,13,Rätt till kompensation,""
5293,2021,Institutet för språk och folkminnen,1122,ISOF,ISOF,Kulturdepartementet,202100-1082,87,80,Rätt till kompensation,""
3359,2012,Myndigheten för kulturanalys,1374,MKA,MKA,Kulturdepartementet,202100-6404,5,4,Rätt till kompensation,Myndigheten startar 2011-04-01
1288,2004,Djurskyddsmyndigheten,1310,DJURSK,DJURSK,Landsbygdsdepartementet,202100-5455,0,0,Rätt till kompensation,""
2831,2010,Internationella programkontoret för utbildningsområdet,1227,IPRO,IPRO,Utbildningsdepartementet,202100-4854,71,68,Rätt till kompensation,Myndigheten upphör 2012-12-31. Verksamheten överförs till Universitets- och högskolerådet.
5697,2023,"Forskningsrådet för miljö, areella näringar och samhällsbyggande",1269,FORMAS,FORMAS,Klimat- och näringslivsdepartementet,202100-5232,98,93,Rätt till kompensation,""
6047,2024,Statens haverikommission,1161,SHK,SHK,Försvarsdepartementet,202100-3260,31,28,Rätt till kompensation,""
103,1999,Lotteriinspektionen,1138,LI,LI,Finansdepartementet,202100-3310,0,0,Rätt till kompensation,""
2427,2008,Regionala etikprövningsnämnden i Göteborg,1312,EPG,EPG,Utbildningsdepartementet,202200-1545,0,0,Rätt till kompensation,""
2274,2008,Allmänna reklamationsnämnden,1116,ARN,ARN,Integrations- och jämställdhetsdepartementet,202100-3625,33,31,Rätt till kompensation,""
5716,2023,Inspektionen för arbetslöshetsförsäkringen,1311,IAF,IAF,Arbetsmarknadsdepartementet,202100-5414,76,63,Rätt till kompensation,""
1122,2003,Länsstyrelsen i Jämtlands län,1011,LJAMTL,LJAMTL,Finansdepartementet,202100-2452,0,0,Rätt till kompensation,""
2010,2006,Ungdomsstyrelsen,1141,US,US,Utbildnings- och kulturdepartementet,202100-1173,43,42,Rätt till kompensation,""
5394,2021,Spelinspektionen,1138,LI,LI,Finansdepartementet,202100-3310,65,62,Rätt till kompensation,""
3980,2015,Institutet för språk och folkminnen,1122,SOFI,SOFI,Kulturdepartementet,202100-1082,87,71,Rätt till kompensation,""
1417,2004,Presstödsnämnden,1146,PSN,PSN,Utbildnings- och kulturdepartementet,202100-3294,0,0,Rätt till kompensation,""
3130,2011,Myndigheten för samhällsskydd och beredskap,1349,MSB,MSB,Försvarsdepartementet,202100-5984,999,924,Rätt till kompensation,Myndigheten aktiv fr.o.m. 2009-01-01
3943,2015,Elsäkerhetsverket,1208,ELSAK,ELSAK,Miljödepartementet,202100-4466,48,46,Rätt till kompensation,""
478,2000,Statens strålskyddsinstitut,1111,SSI,SSI,Miljödepartementet,202100-0571,0,0,Rätt till kompensation,""
302,2000,Folkhälsoinstitutet,1197,FHI,FHI,Socialdepartementet,202100-4383,0,0,Rätt till kompensation,""
