embedded_id_vote_date,embedded_id_party,number_ballots,avg_born_year,avg_total_votes,avg_yes_votes,avg_no_votes,avg_abstain_votes,avg_absent_votes,percentage_approved,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,percentage_yes,percentage_no,percentage_abstain,percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage
2025-06-11,SD,3,1975,349,175.00,103.67,13.33,57.00,100.00,50.14,29.71,16.33,3.82,55.01,1047,525,311,40,171,216,122,61,0,33,1977,76.39,56.48,28.24,0.00,15.28,50.14,29.70,3.82,16.33,2,66.67,3,100.00
2023-04-12,M,16,1975,349,201.38,67.25,33.25,47.13,100.00,57.70,19.27,13.51,9.53,52.15,5584,3222,1076,532,754,1088,943,0,0,145,1975,51.47,86.67,0.00,0.00,13.33,57.70,19.27,9.53,13.50,16,100.00,16,100.00
2014-03-27,V,10,1963,349,204.40,64.50,16.10,64.00,100.00,58.57,18.48,18.34,4.61,56.45,3490,2044,645,161,640,190,102,68,0,20,1961,47.37,53.68,35.79,0.00,10.53,58.57,18.48,4.61,18.34,6,60.00,10,100.00
2017-03-15,S,27,1969,349,214.89,66.70,17.81,49.59,100.00,61.57,19.11,14.21,5.10,53.30,9423,5802,1801,481,1339,3051,2250,387,6,408,1969,46.02,73.75,12.68,0.20,13.37,61.57,19.11,5.10,14.21,23,85.19,27,100.00
2006-02-09,C,19,1954,349,174.00,70.74,23.89,80.37,84.21,49.86,20.27,23.03,6.85,54.11,6631,3306,1344,454,1527,418,81,196,28,113,1954,54.55,19.38,46.89,6.70,27.03,49.86,20.27,6.85,23.03,9,47.37,16,84.21
2023-05-11,KD,15,1975,349,194.87,47.80,50.20,56.13,100.00,55.83,13.70,16.09,14.38,52.15,5235,2923,717,753,842,285,240,0,0,45,1970,73.68,84.21,0.00,0.00,15.79,55.84,13.70,14.38,16.08,15,100.00,15,100.00
2013-05-15,S,11,1963,349,231.45,76.45,1.64,39.45,100.00,66.32,21.91,11.30,0.47,56.16,3839,2546,841,18,434,1232,498,600,0,134,1962,51.79,40.42,48.70,0.00,10.88,66.32,21.91,0.47,11.31,5,45.45,11,100.00
2008-02-27,V,3,1958,349,165.33,133.00,0.00,50.67,100.00,47.37,38.11,14.52,0.00,52.72,1047,496,399,0,152,66,0,57,0,9,1958,36.36,0.00,86.36,0.00,13.64,47.37,38.11,0.00,14.52,0,0.00,3,100.00
2012-02-23,L,10,1963,349,248.90,45.00,2.20,52.90,100.00,71.32,12.89,15.16,0.63,55.79,3490,2489,450,22,529,240,187,0,0,53,1960,54.17,77.92,0.00,0.00,22.08,71.32,12.89,0.63,15.16,10,100.00,10,100.00
2005-06-07,C,1,1954,349,157.00,125.00,0.00,67.00,100.00,44.99,35.82,19.20,0.00,54.44,349,157,125,0,67,22,0,17,0,5,1954,59.09,0.00,77.27,0.00,22.73,44.99,35.82,0.00,19.20,0,0.00,1,100.00
2025-06-11,L,3,1975,349,175.00,103.67,13.33,57.00,100.00,50.14,29.71,16.33,3.82,55.01,1047,525,311,40,171,48,39,0,0,9,1973,43.75,81.25,0.00,0.00,18.75,50.14,29.70,3.82,16.33,3,100.00,3,100.00
2012-02-23,M,10,1963,349,248.90,45.00,2.20,52.90,100.00,71.32,12.89,15.16,0.63,55.79,3490,2489,450,22,529,1070,950,0,0,120,1964,57.66,88.79,0.00,0.00,11.21,71.32,12.89,0.63,15.16,10,100.00,10,100.00
