hjid,header,number_value,parties,proposal_issue_number,proposal_type,against_proposal_list_agains_0
2492094,Tidpunkt för skolstart,5,"""m"",""c"",""kd""",4,reservation,2492089
2704590,Följdlagstiftning i propositioner om godkännande av rambeslut,2,"""m"",""c"",""fp""",3,reservation,2704588
2335457,"",5,"""SD"",""KD""",3,reservation,2335452
2384417,Kollektiva hemförsäkringar,4,"""m""",6,reservation,2384413
2399019,Miljöorganisationers talerätt,12,"""mp""",8,reservation,2399007
2655255,Barn med svårigheter i det sociala samspelet,36,"""m"",""fp"",""kd""",46,reservation,2655219
2420064,Hållbar sjöfart,21,"""c"",""kd""",18,reservation,2420037
2484619,"",11,"""V""",5,reservation,2484608
2509320,"",1,"""M""",1,reservation,2509319
2324911,Högskolepedagogisk utbildning och forskning ,18,"""m"",""fp""",13,reservation,2324893
3362640,"",21,"""S""",13,reservation,3362619
2560731,"",8,"""SD""",6,reservation,2560723
2425350,Det kommunala flyktingmottagandet,3,"""v""",4,reservation,2425347
2626312,"",14,"""M""",6,reservation,2626298
2531137,Polisens utredningsverksamhet ,8,"""kd""",7,reservation,2531129
2650731,Förbättrat centralt och regionalt stöd,7,"""kd""",6,reservation,2650724
2393870,"",4,"""V""",4,reservation,2393866
2647132,Miljödifferentierade avgifter,6,"""v"",""mp""",7,reservation,2647126
2663347,Vård och behandling av olika sjukdomar m.m.,34,"""fp""",20,reservation,2663313
2498470,Den narkotikapolitiska inriktningen och förebyggande arbete m.m.,1,"""m""",2,reservation,2498469
2292906,"",7,"""V""",3,reservation,2292899
2355542,"",2,"""S"",""V"",""MP""",3,reservation,2355540
3362039,Särskolans personkrets,6,"""kd""",7,reservation,3362033
2387963,"",14,"""SD"",""-""",18,reservation,2387949
2575769,"",4,"""M""",2,reservation,2575765
2680423,Ändring i produktsäkerhetslagen,1,"""mp""",1,reservation,2680422
2359882,Godkännande av Prümrådsbeslutet,1,"""s""",1,reservation,2359881
3360848,Hushållningen med mark- och vattenområden,1,"""MP""",1,reservation,3360847
1113552,Ungdomars fritidsverksamhet,5,"""S""",6,reservation,1113547
2311355,Psykisk ohälsa och stress ,9,"""kd""",5,reservation,2311346
2673475,Åtgärder mot försurning och övergödning m.m.,33,"""fp""",25,reservation,2673442
2514648,M/S Estonias förlisning,3,"""kd"",""mp""",4,reservation,2514645
2632079,"",1,"""KD""",1,reservation,2632078
2495873,"",8,"""KD""",3,reservation,2495865
2337688,"",26,"""M"",""KD""",22,reservation,2337662
2431821,Nordiskt samarbete kring anpassning,14,"""S"",""V""",13,reservation,2431807
2492095,Tidpunkt för skolstart,6,"""fp""",4,reservation,2492089
2501070,Decentraliserad organisation för att spegla hela landet,9,"""m""",6,reservation,2501061
2522941,"",1,"""M""",1,reservation,2522940
2570978,Arbetsmiljöns påverkan på forskningens kvalitet,5,"""c""",5,reservation,2570973
2612058,"",5,"""C""",4,reservation,2612053
3362742,Kompetensutveckling av viss skolpersonal om ätstörningar,23,"""m""",21,reservation,3362719
2430459,"",11,"""S""",6,reservation,2430448
2370162,"",8,"""KD""",4,reservation,2370154
2657040,Familjesplittring,32,"""c"",""fp"",""kd""",23,reservation,2657008
2338012,Inriktningen av äldrepolitiken ,5,"""m""",2,reservation,2338007
1095079,"",5,"""S"",""V"",""MP""",3,reservation,1095074
2698576,"",3,"""KD""",1,reservation,2698573
2601670,"",17,"""M"",""KD""",11,reservation,2601653
2509407,"",15,"""SD""",13,reservation,2509392
2455888,Museisektorns struktur,16,"""m""",34,reservation,2455872
2309148,Arkivering och gallring ,4,"""c"",""kd""",5,reservation,2309144
2673719,Avslag på propositionen,1,"""s"",""v"",""mp""",1,reservation,2673718
2312641,"Miljökrav, transport m.m.",6,"""S""",3,reservation,2312635
2340958,"",17,"""SD"",""-""",29,reservation,2340941
2496308,"",4,"""SD""",2,reservation,2496304
2453795,Målkonflikter,15,"""S"",""MP"",""V""",11,reservation,2453780
2414607,Elpådrivare,25,"""v"",""mp""",24,reservation,2414579
2489024,"",4,"""S""",4,reservation,2489020
2325495,Forskning inom området elektromagnetisk strålning ,55,"""v""",74,reservation,2325440
2298852,Alkohol i trafiken,2,"""m"",""c"",""fp"",""kd""",2,reservation,2298850
3360286,"",19,"""MP""",10,reservation,3360267
2699938,"",8,"""V""",10,reservation,2699930
2359328,Högmålsbrott ,2,"""v"",""mp""",6,reservation,2359326
2492202,Nationella prov,10,"""kd""",9,reservation,2492190
2328150,"",2,"""V""",1,reservation,2328148
2447414,"",30,"""M""",21,reservation,2447384
2393693,"",3,"""L""",4,reservation,2393690
2298535,Jämställdhet,5,"""mp""",3,reservation,2298530
2509250,EU som global aktör,5,"""SD""",2,reservation,2509245
2473227,"",1,"""M"",""C"",""L"",""KD""",1,reservation,2473226
2496370,"",29,"""KD""",18,reservation,2496341
2658123,Ny kulturutredning,3,"""mp""",3,reservation,2658120
1004950,"",9,"""C""",6,reservation,1004941
2298908,EU - en kärnvapenfri zon,28,"""v""",34,reservation,2298880
2470140,Näringspolitikens inriktning,3,"""V""",1,reservation,2470137
2406747,Små företags situation m.m. ,1,"""kd""",1,reservation,2406746
2389765,"",13,"""V""",19,reservation,2389752
2317041,Tillämpningen av LVM,33,"""kd""",27,reservation,2317008
2426028,Staten på elmarknaden,3,"""MP""",1,reservation,2426025
2513578,Underlag m.m. från kommunerna,4,"""SD""",3,reservation,2513574
2606057,"",1,"""M""",2,reservation,2606056
2304178,"",27,"""SD""",31,reservation,2304151
2373458,Konsumentinformation,12,"""s"",""v"",""mp""",18,reservation,2373446
2590011,"",14,"""M""",10,reservation,2589997
2618388,Solenergi,20,"""m"",""fp""",13,reservation,2618368
2298437,Upphandling av flyg- och järnvägstrafik,6,"""s"",""v"",""mp""",6,reservation,2298431
2383348,"",14,"""V""",6,reservation,2383334
2675611,Finansiering med medel från spelanordnare m.m. av åtgärder mot negativa konsekvenser av spel,5,"""kd""",14,reservation,2675606
2619381,"",10,"""S""",7,reservation,2619371
1004947,"",6,"""MP""",4,reservation,1004941
2304816,"",2,"""KD""",1,reservation,2304814
2649993,"",15,"""MP""",5,reservation,2649978
1113306,Beslut om utgiftsramar och beräkning av inkomsterna på statens budget för 2012,5,"""S""",2,reservation,1113301
2704235,Uppföljning av MU-avtalet,3,"""S"",""V""",3,reservation,2704232
2679803,"",4,"""V""",1,reservation,2679799
2462074,"",8,"""M""",3,reservation,2462066
2458416,Utbildning i specialpedagogik,12,"""m"",""fp""",13,reservation,2458404
2518440,"",2,"""SD""",1,reservation,2518438
1004959,"",18,"""C""",9,reservation,1004941
2434015,"",25,"""L""",20,reservation,2433990
3358790,"",16,"""SD""",6,reservation,3358774
2646571,Ersättningsnivån i rättsskyddsförsäkringar,2,"""v""",1,reservation,2646569
2352341,"",21,"""S""",12,reservation,2352320
2586677,"",23,"""L""",28,reservation,2586654
2298168,"",3,"""SD""",2,reservation,2298165
2449337,Klimatinsatser,26,"""MP"",""V""",18,reservation,2449311
1035170,"",11,"""MP""",5,reservation,1035159
2623940,"",15,"""C""",10,reservation,2623925
