year,committee,doc_count
2012,BoU,1
2013,SoU,427
2013,UbU,329
2013,MJU,285
2013,CU,284
2013,TU,279
2013,JuU,256
2013,SkU,229
2013,KU,227
2013,NU,219
2013,AU,217
2013,SfU,214
2013,FiU,165
2013,KrU,143
2013,UU,125
2013,FöU,67
2013,FI,55
2013,Ju,43
2013,S,36
2013,N,23
2013,UD,13
2013,U,10
2013,kamm,8
2013,A,5
2013,L,5
2013,M,4
2013,UFöU,4
2013,SB,4
2013,Fö,3
2013,Ku,3
2013,Justitiedepartementet,1
2014,SoU,605
2014,TU,532
2014,UbU,463
2014,MJU,406
2014,JuU,359
2014,SkU,339
2014,NU,307
2014,KU,302
2014,CU,277
2014,SfU,246
2014,UU,222
2014,KrU,191
2014,AU,181
2014,FiU,162
2014,FöU,87
2014,Ju,41
2014,FI,28
2014,Finansdepartementet,23
2014,S,19
2014,N,16
2014,Justitiedepartementet,15
2014,UD,15
2014,U,11
2014,M,9
2014,Socialdepartementet,8
2014,kamm,7
2014,Utrikesdepartementet,7
2014,A,6
2014,Arbetsmarknadsdepartementet,6
2014,L,5
2014,Utbildningsdepartementet,4
2014,Näringsdepartementet,3
2014,UFöU,3
2014,Ku,3
2014,SB,2
2014,Fö,2
2014,Försvarsdepartementet,2
2014,Landsbygdsdepartementet,1
2014,So,1
2015,SoU,392
2015,TU,382
2015,UbU,336
2015,JuU,316
2015,MJU,310
2015,SkU,286
2015,CU,237
2015,KU,218
2015,NU,213
2015,SfU,205
2015,FiU,176
2015,AU,172
2015,UU,169
2015,KrU,148
2015,Finansdepartementet,71
2015,FöU,69
2015,Justitiedepartementet,36
2015,Näringsdepartementet,19
2015,Socialdepartementet,14
2015,Utrikesdepartementet,12
2015,Miljö- och energidepartementet,12
2015,Utbildningsdepartementet,11
2015,Kulturdepartementet,7
2015,Arbetsmarknadsdepartementet,7
2015,UFöU,5
2015,Försvarsdepartementet,5
2015,Statsrådsberedningen,2
2016,SoU,438
2016,TU,387
2016,JuU,374
2016,UbU,356
2016,MJU,337
2016,SkU,330
2016,CU,248
2016,KU,243
2016,NU,225
2016,SfU,211
2016,UU,190
2016,FiU,183
2016,AU,179
2016,KrU,152
2016,FöU,89
2016,Finansdepartementet,55
2016,Justitiedepartementet,43
2016,Socialdepartementet,18
2016,Näringsdepartementet,17
2016,Miljö- och energidepartementet,15
2016,Utrikesdepartementet,12
2016,Utbildningsdepartementet,11
2016,Försvarsdepartementet,5
2016,Kulturdepartementet,5
2016,UFöU,4
2016,Statsrådsberedningen,3
2016,Arbetsmarknadsdepartementet,3
2017,SoU,480
2017,JuU,424
2017,TU,418
2017,MJU,383
2017,SkU,370
2017,UbU,340
2017,KU,306
2017,CU,294
2017,SfU,283
