hjid,activity_name,code,created_date,order_number,process,status,document_activities_document_0
568343,Registrering,REG,2005-10-19,70,hantering,inträffat,568339
3257628,Hänvisning,HÄN,2002-10-30,2,hanvisning,inträffat,3257625
1753322,Bordläggning,B,2020-12-08,0,"",inträffat,1753318
417334,Inlämnad,INL,2021-09-27,0,behandling,inträffat,417333
1553999,Bordläggning,B,2007-10-16,1,hanvisning,inträffat,1553996
389648,Utfärdande av riksdagsskrivelse,RSKR,2006-06-02,6,avgorande,inträffat,389638
2061808,Granskning,GKD,2000-10-11,3,hantering,inträffat,2061805
1781682,Hänvisad,HÄN,2016-10-14,0,behandling,inträffat,1781679
1192115,Trycklov,TRY,2017-10-26,0,"",inträffat,1192112
1388504,Inlämning,INL,2001-10-05,13,hantering,inträffat,1388501
743595,Hänvisning,HÄN,2012-11-30,2,hanvisning,inträffat,743592
1602612,Hänvisad,HÄN,2014-11-12,0,behandling,inträffat,1602609
1262243,Inlämnad,INL,2018-11-27,0,behandling,inträffat,1262242
2113232,Hänvisad,HÄN,2018-12-05,0,behandling,inträffat,2113229
2183991,Bordläggning,B,2003-10-15,1,hanvisning,inträffat,2183989
1627849,Hänvisning,HÄN,2003-10-15,2,hanvisning,inträffat,1627846
3393064,Trycklov,TRY,2026-05-08,0,"",planerat,3393060
1297232,Granskad,Granskad,2025-10-06,0,behandling,inträffat,1297230
1212093,Inlämning,INL,2003-10-07,13,hantering,inträffat,1212092
1054098,Bordläggning 2,B2,2011-12-06,2,avgorande,inträffat,1054092
615909,Bordläggning,B,2001-10-11,1,hanvisning,inträffat,615902
1362797,Numrering,NUM,2001-10-05,7,hantering,inträffat,1362793
693092,Under beredning,UBE,2012-03-01,30,beredning,planerat,693091
2076315,Utskottsförslag,UFÖR,2001-10-05,4,hantering,inträffat,2076309
1193604,Utfärdande av riksdagsskrivelse,RSKR,2013-12-18,6,avgorande,inträffat,1193594
2257311,Hänvisning,HÄN,2005-10-13,2,hanvisning,inträffat,2257308
738344,Granskad,Granskad,2017-10-04,0,behandling,inträffat,738342
1226191,Granskad,Granskad,2022-11-21,0,behandling,inträffat,1226189
1065628,Hänvisningsförslag,HFÖR,2001-10-05,6,hantering,inträffat,1065626
1672570,Bordläggning,B,2021-05-04,0,"",inträffat,1672566
650645,Granskad,Granskad,2023-10-05,0,behandling,inträffat,650643
1676524,Bordläggning 1,B1,2001-05-11,1,avgorande,planerat,1676518
1381802,Hänvisad,HÄN,2019-10-11,0,behandling,inträffat,1381795
321240,Behandling,BEH,2002-04-04,3,avgorande,inträffat,321232
1658418,Hänvisad,HÄN,2021-10-14,0,behandling,inträffat,1658415
1977079,Numrering,NUM,2013-10-07,7,hantering,inträffat,1977077
393551,Granskad,Granskad,2025-09-29,0,behandling,inträffat,393549
1350580,Inlämning,INL,2007-10-04,13,hantering,inträffat,1350576
2247374,Granskad,Granskad,2020-10-05,0,behandling,inträffat,2247372
1266308,Justering,JUS,2021-05-27,0,"",inträffat,1266306
1669480,Inlämning,INL,2001-10-05,13,hantering,inträffat,1669477
326687,Hänvisning,HÄN,2000-10-11,2,hanvisning,inträffat,326683
679225,Bordläggning,B,2006-11-07,1,hanvisning,inträffat,679222
418655,Granskad,Granskad,2021-09-28,0,behandling,inträffat,418653
775248,Beslut,BES,2021-04-21,0,"",inträffat,775241
779974,Inlämning,INL,2004-10-05,13,hantering,inträffat,779973
994158,Utskottsförslag,UFÖR,2001-10-05,4,hantering,inträffat,994152
422948,Granskad,Granskad,2024-10-04,0,behandling,inträffat,422946
1702108,Inlämning,INL,2005-10-05,13,hantering,inträffat,1702107
2119774,Inlämning,INL,2005-03-16,13,hantering,inträffat,2119773
779535,Inlämning,INL,2011-09-27,13,hantering,inträffat,779534
768910,Under beredning,UBE,2006-03-28,30,beredning,inträffat,768908
945048,Hänvisad,HÄN,2018-03-21,0,behandling,inträffat,945045
1775724,Inlämning,INL,2005-10-05,13,hantering,inträffat,1775723
1448427,Hänvisning,HÄN,2007-10-16,2,hanvisning,inträffat,1448423
287872,Inlämnad,INL,2025-09-29,0,behandling,inträffat,287871
1779291,Hänvisad,HÄN,2020-10-14,0,behandling,inträffat,1779288
3125894,Numrering,NUM,2009-10-05,7,hantering,inträffat,3125892
815298,Hänvisad,HÄN,2021-10-14,0,behandling,inträffat,815295
1938493,Under beredning,UBE,2004-10-19,30,beredning,planerat,1938491
306533,Hänvisad,HÄN,2016-10-14,0,behandling,inträffat,306530
134006,Behandling,BEH,2000-12-14,3,avgorande,inträffat,134001
164701,Avgörande,AVG,2007-05-10,5,avgorande,inträffat,164693
500531,Inlämning,INL,2006-10-31,13,hantering,inträffat,500529
1073484,Bordläggning,B,2001-10-11,1,hanvisning,inträffat,1073477
1264548,Inlämning,INL,2010-10-27,13,hantering,inträffat,1264547
1838434,Avgörande,AVG,2007-05-09,5,avgorande,inträffat,1838426
1490058,Hänvisning,HÄN,2007-10-16,2,hanvisning,inträffat,1490054
3247633,Granskning,GKD,2000-10-11,3,hantering,inträffat,3247630
152772,Numrering,NUM,2012-10-05,7,hantering,inträffat,152770
1226334,Inlämning,INL,2002-10-23,13,hantering,inträffat,1226333
536351,Trycklov,TRY,2006-05-19,60,beredning,planerat,536348
138596,Bordläggning,B,2002-10-30,1,hanvisning,inträffat,138594
2001592,Planerat ikraftträdande,LAG,2014-07-01,12,avgorande,planerat,2001582
512127,Utskottsförslag,UFÖR,2001-10-05,4,hantering,inträffat,512121
328100,Inlämning,INL,2007-10-03,13,hantering,inträffat,328099
60627,Avgörande,AVG,2011-04-14,5,avgorande,inträffat,60619
1357461,Inlämning,INL,2005-10-05,13,hantering,inträffat,1357460
1389710,Hänvisningsförslag,HFÖR,2001-10-05,6,hantering,inträffat,1389708
467092,Hänvisad,HÄN,2021-10-14,0,behandling,inträffat,467089
112524,Inlämning,INL,2011-10-05,13,hantering,inträffat,112523
2016394,Hänvisad,HÄN,2024-10-15,0,behandling,inträffat,2016391
249021,Granskad,Granskad,2020-10-06,0,behandling,inträffat,249019
1176170,Bordläggning 1,B1,2001-05-15,1,avgorande,inträffat,1176165
1409851,Bordläggning,B,2007-10-16,1,hanvisning,inträffat,1409848
559428,Granskad,Granskad,2018-11-26,0,behandling,inträffat,559426
1003651,Inlämning,INL,2012-03-30,13,hantering,inträffat,1003650
2016347,Inlämnad,INL,2018-11-28,0,behandling,inträffat,2016346
1148097,Hänvisning,HÄN,2001-10-11,2,hanvisning,inträffat,1148089
213498,Bordläggning 1,B1,2011-06-01,1,avgorande,inträffat,213493
92779,Trycklov,TRY,2014-04-08,0,"",inträffat,92773
358327,Hänvisning,HÄN,2000-10-11,2,hanvisning,inträffat,358323
621869,Inlämning,INL,2006-10-31,13,hantering,inträffat,621868
771329,Hänvisad,HÄN,2017-10-13,0,behandling,inträffat,771326
994680,Inlämnad,INL,2019-10-01,0,behandling,inträffat,994679
773928,Inlämnad,INL,2023-10-05,0,behandling,inträffat,773927
899893,Beslut,BES,2016-03-23,0,"",inträffat,899887
3283085,Granskad,Granskad,2016-10-06,0,behandling,inträffat,3283083
1881491,Inlämnad,INL,2016-09-30,0,behandling,inträffat,1881490
562417,Hänvisning,HÄN,2006-04-18,2,hanvisning,inträffat,562414
449735,Beslut,BES,2002-04-25,4,avgorande,inträffat,449725
461961,Hänvisad,HÄN,2021-10-14,0,behandling,inträffat,461958
296918,Inlämnad,INL,2015-10-05,0,behandling,inträffat,296917
2129742,Bordläggning,B,2003-10-15,1,hanvisning,inträffat,2129738
1964698,Granskning,GKD,2000-10-11,3,hantering,inträffat,1964695
261508,Bordläggning,B,2024-11-26,0,"",inträffat,261503
392792,Granskning,GKD,2001-10-05,3,hantering,inträffat,392791
1113739,Beslut,BES,2017-11-22,0,"",inträffat,1113733
1585426,Hänvisning,HÄN,2005-10-13,2,hanvisning,inträffat,1585423
1709554,Granskad,Granskad,2021-10-05,0,behandling,inträffat,1709552
455922,Hänvisad,HÄN,2015-10-13,0,behandling,inträffat,455919
1145524,Granskad,Granskad,2023-10-04,0,behandling,inträffat,1145522
148303,Behandling,BEH,2012-12-19,3,avgorande,inträffat,148295
1732999,Under beredning,UBE,2002-12-03,30,beredning,planerat,1732992
833086,Numrering,NUM,2008-10-07,7,hantering,inträffat,833084
