year,quarter,is_election_year,election_cycle,total_ballots,active_politicians,attendance_rate,documents_produced,q_baseline_ballots,q_stddev_ballots,ballot_z_score,q_baseline_docs,q_stddev_docs,doc_z_score,q_baseline_attendance,q_stddev_attendance,attendance_z_score,base_activity_classification,prev_quarter_ballots,next_quarter_ballots,prev_quarter_attendance,prev_quarter_documents,cross_year_quarter_avg_ballots,cross_year_quarter_stddev_ballots,cross_year_quarter_avg_docs,activity_quartile_cycle,qoq_ballot_change_pct,deviation_from_typical_quarter,cross_year_z_score,quarter_label,parliamentary_period,seasonal_pattern_classification
2010,2,t,2010-2014,112,351,100.00000000000000000000,292,199.8333333333333333,67.9283792378587003,-1.2930285444582042,224.5000000000000000,111.066090552374,0.60774624968157943688,100.00000000000000000000,0,0,REDUCED_ACTIVITY,107,96,100.00000000000000000000,246,208.1304347826086957,79.5904212872411507,252.5652173913043478,2,4.67,-96.1304347826086957,-1.21,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2021,4,f,2018-2022,50,363,100.00000000000000000000,2675,93.2222222222222222,36.7992256241343713,-1.1745416238833949,2963.6666666666666667,436.411031294231,-0.66145593481124867704,100.00000000000000000000,0,0,REDUCED_ACTIVITY,8,,100.00000000000000000000,1900,84.6250000000000000,36.8937805282498349,2966.7916666666666667,1,525.00,-34.6250000000000000,-0.94,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
2023,4,f,2022-2026,36,352,100.00000000000000000000,2451,93.2222222222222222,36.7992256241343713,-1.5549844120821295,2963.6666666666666667,436.411031294231,-1.1747335193299082,100.00000000000000000000,0,0,REDUCED_ACTIVITY,3,,100.00000000000000000000,595,84.6250000000000000,36.8937805282498349,2966.7916666666666667,2,1100.00,-48.6250000000000000,-1.32,Q4_AUTUMN,Autumn Session (Oct-Dec),UNUSUALLY_LOW_ACTIVITY
2006,2,t,2006-2010,167,351,100.00000000000000000000,430,199.8333333333333333,67.9283792378587003,-0.48335222629652035368,224.5000000000000000,111.066090552374,1.8502496934750307,100.00000000000000000000,0,0,NORMAL_ACTIVITY,207,63,100.00000000000000000000,1591,208.1304347826086957,79.5904212872411507,252.5652173913043478,4,-19.32,-41.1304347826086957,-0.52,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2022,2,t,2022-2026,428,359,100.00000000000000000000,362,199.8333333333333333,67.9283792378587003,3.3589299380707430,224.5000000000000000,111.066090552374,1.2380016197217359,100.00000000000000000000,0,0,ANOMALY_DETECTED,225,31,100.00000000000000000000,479,208.1304347826086957,79.5904212872411507,252.5652173913043478,4,90.22,219.8695652173913043,2.76,Q2_SPRING,Spring Session (Apr-Jun),UNUSUALLY_HIGH_ACTIVITY
2008,4,f,2006-2010,116,355,100.00000000000000000000,3498,93.2222222222222222,36.7992256241343713,0.61897437762492535564,2963.6666666666666667,436.411031294231,1.2243809047372190,100.00000000000000000000,0,0,NORMAL_ACTIVITY,1,,100.00000000000000000000,507,84.6250000000000000,36.8937805282498349,2966.7916666666666667,3,11500.00,31.3750000000000000,0.85,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
2016,4,f,2014-2018,69,351,100.00000000000000000000,2995,93.2222222222222222,36.7992256241343713,-0.65822641132796940133,2963.6666666666666667,436.411031294231,0.07179775735826486786,100.00000000000000000000,0,0,NORMAL_ACTIVITY,4,,100.00000000000000000000,793,84.6250000000000000,36.8937805282498349,2966.7916666666666667,1,1625.00,-15.6250000000000000,-0.42,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
2005,3,f,2002-2006,7,349,100.00000000000000000000,1723,5.4000000000000000,4.2054386555642784,0.38045971682003165487,848.6666666666666667,536.116813852390,1.6308634811331716,100.00000000000000000000,0,0,NORMAL_ACTIVITY,119,154,100.00000000000000000000,212,5.4000000000000000,4.0628397293846907,848.6666666666666667,1,-94.12,1.6000000000000000,0.39,Q3_SUMMER,Summer Recess/Election (Jul-Sep),NORMAL_SEASONAL_PATTERN
2016,2,f,2014-2018,235,357,100.00000000000000000000,152,199.8333333333333333,67.9283792378587003,0.51770213070337966917,224.5000000000000000,111.066090552374,-0.65276449039873346924,100.00000000000000000000,0,0,NORMAL_ACTIVITY,125,4,100.00000000000000000000,269,208.1304347826086957,79.5904212872411507,252.5652173913043478,4,88.00,26.8695652173913043,0.34,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2025,3,f,2022-2026,2,349,100.00000000000000000000,724,5.4000000000000000,4.2054386555642784,-0.80847689824256726661,848.6666666666666667,536.116813852390,-0.23253638655882813390,100.00000000000000000000,0,0,NORMAL_ACTIVITY,254,49,100.00000000000000000000,196,5.4000000000000000,4.0628397293846907,848.6666666666666667,1,-99.21,-3.4000000000000000,-0.84,Q3_SUMMER,Summer Recess/Election (Jul-Sep),NORMAL_SEASONAL_PATTERN
2008,3,f,2006-2010,1,349,100.00000000000000000000,507,5.4000000000000000,4.2054386555642784,-1.04626422125508705090,848.6666666666666667,536.116813852390,-0.63729892038181507275,100.00000000000000000000,0,0,REDUCED_ACTIVITY,166,116,100.00000000000000000000,270,5.4000000000000000,4.0628397293846907,848.6666666666666667,1,-99.40,-4.4000000000000000,-1.08,Q3_SUMMER,Summer Recess/Election (Jul-Sep),Q3_SUMMER_LULL
