vote_date,number_ballots,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,avg_percentage_approved,percentage_yes,percentage_no,percentage_abstain,percentage_absent,percentage_approved
2014-02-01,40,13960,8597,2785,587,1991,40,1963,56.18,22.06,15.03,6.73,56.88,100.00,61.58,19.95,4.20,14.26,100.00
2005-10-01,16,5584,2832,1115,491,1146,16,1954,51.64,19.93,20.73,7.72,54.68,100.00,50.72,19.97,8.79,20.52,100.00
2013-02-01,78,27222,17655,4858,1203,3506,78,1963,62.72,18.52,13.57,5.19,56.57,100.00,64.86,17.85,4.42,12.88,100.00
2014-11-01,6,2094,1533,212,18,331,6,1969,75.79,8.25,15.45,0.52,55.30,100.00,73.21,10.12,0.86,15.81,100.00
2005-03-01,88,30712,17087,6156,1521,5948,82,1954,56.37,19.14,19.36,5.13,54.29,94.12,55.64,20.04,4.95,19.37,93.18
2006-01-01,19,6631,3836,1288,310,1197,19,1954,61.79,15.03,19.54,3.63,53.68,100.00,57.85,19.42,4.68,18.05,100.00
2003-11-01,88,30712,19181,5171,2026,4334,86,1954,62.02,17.11,14.39,6.48,54.73,91.26,62.45,16.84,6.60,14.11,97.73
2018-05-01,104,36296,21963,6205,2459,5669,104,1970,60.36,17.04,15.83,6.77,54.15,100.00,60.51,17.10,6.77,15.62,100.00
2005-05-01,65,22685,13099,5018,917,3651,65,1954,58.39,21.57,16.08,3.96,54.51,100.00,57.74,22.12,4.04,16.09,100.00
2014-05-01,47,16403,11167,2126,1142,1968,47,1963,68.15,11.73,13.33,6.80,56.59,100.00,68.08,12.96,6.96,12.00,100.00
2009-09-01,8,2792,1427,797,106,462,8,1958,46.44,32.11,17.07,4.39,53.71,100.00,51.11,28.55,3.80,16.55,100.00
2010-01-01,12,4188,2203,1159,54,772,12,1959,51.43,29.28,18.25,1.05,53.30,100.00,52.60,27.67,1.29,18.43,100.00
2018-04-01,94,32806,19784,4709,2683,5630,93,1970,60.17,13.32,17.89,8.62,54.44,99.24,60.31,14.35,8.18,17.16,98.94
2024-04-01,108,37692,21899,6449,4091,5253,108,1975,56.61,18.37,14.42,10.61,52.44,100.00,58.10,17.11,10.85,13.94,100.00
