embedded_id_decision_type,embedded_id_org,embedded_id_decision_date,total,committee_winner,reservation_winner
RÖSTNING,FIU,2019-11-22,3,3,0
"",JUU,2009-06-11,1,0,0
ACKLAMATION,NU,2012-02-03,4,4,0
ACKLAMATION,AU,2001-11-29,6,6,0
ACKLAMATION,NU,2016-10-18,2,2,0
ACKLAMATION,JUU,2004-03-18,26,26,0
RÖSTNING,TU,2017-03-09,4,4,0
ACKLAMATION,JUU,2002-02-12,1,1,0
RÖSTNING,KRU,2017-03-17,13,13,0
RÖSTNING,TU,2009-03-02,1,1,0
-,JUU,2001-11-22,27,0,0
RÖSTNING,UU,2016-06-07,5,5,0
RÖSTNING,TU,2003-05-20,5,5,0
RÖSTNING,UBU,2018-02-08,1,1,0
ACKLAMATION,MJU,2013-04-09,6,6,0
ACKLAMATION,UBU,2015-06-05,1,1,0
ACKLAMATION,KU,2007-04-12,6,6,0
ACKLAMATION,CU,2008-05-19,1,1,0
RÖSTNING,CU,2007-12-07,6,6,0
ACKLAMATION,AU,2022-06-07,1,1,0
ACKLAMATION,SOU,2009-03-18,19,19,0
ACKLAMATION,FIU,2020-06-22,1,1,0
ACKLAMATION,TU,2017-03-09,6,6,0
ACKLAMATION,UBU,2013-12-04,1,1,0
RÖSTNING,JUU,2015-03-24,2,2,0
ACKLAMATION,NU,2005-11-15,13,13,0
RÖSTNING,TU,2016-06-09,4,4,0
RÖSTNING,NU,2010-05-26,2,2,0
ACKLAMATION,MJU,2022-06-08,29,29,0
RÖSTNING,MJU,2002-05-16,5,5,0
RÖSTNING,UU,2006-05-04,6,6,0
RÖSTNING,TU,2003-05-13,3,3,0
"",KU,2005-09-21,1,0,0
ACKLAMATION,FIU,2008-06-10,2,2,0
ACKLAMATION,KRU,2004-11-09,1,1,0
ACKLAMATION,NU,2010-03-17,1,1,0
RÖSTNING,CU,2008-03-18,2,2,0
RÖSTNING,JUU,2005-02-08,2,2,0
ACKLAMATION,CU,2016-06-17,1,1,0
RÖSTNING,MJU,2014-06-11,6,6,0
ACKLAMATION,MJU,2007-04-12,23,23,0
ACKLAMATION,JUU,2017-04-27,2,2,0
ACKLAMATION,JUU,2022-11-10,2,2,0
RÖSTNING,MJU,2014-03-27,6,6,0
ACKLAMATION,LU,2006-05-18,16,16,0
"",JUU,2014-06-18,6,0,0
-,LU,2002-04-02,5,0,0
ACKLAMATION,NU,2015-12-03,3,3,0
RÖSTNING,MJU,2013-11-21,2,2,0
RÖSTNING,CU,2016-03-03,2,2,0
ACKLAMATION,MJU,2009-04-23,1,1,0
ACKLAMATION,SKU,2018-12-18,2,2,0
ACKLAMATION,JUU,2025-01-31,4,4,0
RÖSTNING,FIU,2021-10-01,1,1,0
RÖSTNING,SOU,2001-11-22,2,2,0
RÖSTNING,CU,2010-04-19,1,1,0
RÖSTNING,NU,2025-03-20,5,5,0
ACKLAMATION,NU,2015-03-24,2,2,0
RÖSTNING,SOU,2006-02-09,8,8,0
RÖSTNING,SFU,2013-05-28,1,1,0
ACKLAMATION,UU,2003-05-15,11,11,0
ACKLAMATION,MJU,2009-12-02,31,31,0
RÖSTNING,SFU,2025-03-04,4,4,0
