person_reference_id,total_documents,party_motions,individual_motions,follow_up_motions,committee_motions,multi_party_motions,party_motions_pct,individual_motions_pct,committee_motions_pct,first_document_date,last_document_date,years_active,docs_per_year,documents_last_year,propositions,government_communications,document_types,activity_profile,activity_level,collaboration_percentage
0975579292417,812,2,745,0,40,21,0.2,91.7,4.9,2000-02-14,2017-10-04,17,47.8,0,0,0,"{mot:,mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Individual-focused,Very High,2.6
0811968273221,44,0,43,0,0,1,0.0,97.7,0.0,2007-09-26,2009-10-06,2,22.0,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion}",Individual-focused,Low,2.3
0227802801605,50,0,50,0,0,0,0.0,100.0,0.0,2018-11-26,2021-10-05,2,25.0,0,0,0,"{""mot:Enskild motion""}",Individual-focused,Low,0.0
068822158616,29,0,29,0,0,0,0.0,100.0,0.0,2023-10-02,2025-10-06,2,14.5,12,0,0,"{""mot:Enskild motion""}",Individual-focused,Low,0.0
0691468495629,129,11,46,0,61,11,8.5,35.7,47.3,2002-10-23,2006-04-06,3,43.0,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Committee-focused,High,8.5
0841422940412,10,0,10,0,0,0,0.0,100.0,0.0,2004-09-28,2004-10-12,0,,0,0,0,"{""mot:Enskild motion""}",Individual-focused,Low,0.0
0114769874810,88,0,85,0,0,3,0.0,96.6,0.0,2006-10-31,2009-10-06,2,44.0,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion}",Individual-focused,Medium,3.4
091303475611,370,0,151,0,219,0,0.0,40.8,59.2,2018-10-23,2026-04-01,7,52.9,38,0,0,"{""mot:Enskild motion"",mot:Kommittémotion}",Committee-focused,Very High,0.0
0731092390302,40,0,8,0,24,5,0.0,20.0,60.0,2000-04-05,2002-04-09,2,20.0,0,0,0,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",Committee-focused,Low,12.5
0469825305127,88,4,22,0,62,0,4.5,25.0,70.5,2014-11-07,2017-02-15,2,44.0,0,0,0,"{""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",Committee-focused,Medium,0.0
0749416304126,47,0,47,0,0,0,0.0,100.0,0.0,2022-11-15,2025-10-06,2,23.5,19,0,0,"{""mot:Enskild motion""}",Individual-focused,Low,0.0
0783033318602,31,0,30,0,0,1,0.0,96.8,0.0,2002-10-23,2006-04-11,3,10.3,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion}",Individual-focused,Low,3.2
0180442748612,28,0,28,0,0,0,0.0,100.0,0.0,2003-10-07,2006-04-26,2,14.0,0,0,0,"{""mot:Enskild motion""}",Individual-focused,Low,0.0
071293048118,19,0,19,0,0,0,0.0,100.0,0.0,2022-11-21,2025-10-06,2,9.5,8,0,0,"{""mot:Enskild motion""}",Individual-focused,Low,0.0
0397073482210,19,1,18,0,0,0,5.3,94.7,0.0,2017-05-03,2024-10-04,7,2.7,0,0,0,"{""mot:Enskild motion"",mot:Partimotion}",Individual-focused,Low,0.0
0592345073323,68,0,68,0,0,0,0.0,100.0,0.0,2022-11-10,2025-10-07,2,34.0,24,0,0,"{""mot:Enskild motion""}",Individual-focused,Medium,0.0
0388920259006,398,53,193,0,89,38,13.3,48.5,22.4,2000-02-09,2009-10-06,9,44.2,0,0,0,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Individual-focused,Very High,9.5
0648224557612,143,0,126,0,17,0,0.0,88.1,11.9,2018-11-23,2026-05-13,7,20.4,33,0,0,"{""mot:Enskild motion"",mot:Kommittémotion}",Individual-focused,High,0.0
0782713019602,362,6,76,0,108,164,1.7,21.0,29.8,2000-01-21,2009-10-06,9,40.2,0,0,0,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Committee-focused,Very High,45.3
0510486065729,121,0,91,0,25,5,0.0,75.2,20.7,2006-10-31,2010-04-01,3,40.3,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",Individual-focused,High,4.1
0820673454606,550,77,89,0,307,57,14.0,16.2,55.8,2000-02-09,2009-10-06,9,61.1,0,0,0,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Committee-focused,Very High,10.4
0977023188809,207,1,169,0,28,8,0.5,81.6,13.5,2000-10-05,2010-04-16,9,23.0,0,0,0,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Individual-focused,Very High,3.9
