embedded_id_ballot_id,embedded_id_intressent_id,embedded_id_concern,embedded_id_issue,party,first_name,last_name,gender,born_year,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,vote,won,rebel,party_won,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male,ballot_type,rm,label,vote_date,party_avg_born_year,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_approved,party_no_winner,party_percentage_yes,party_percentage_no,party_percentage_absent,party_percentage_abstain,party_percentage_male
E36FB487-C981-4A49-824D-73E18D535655,0105632258713,SAKFRÅGAN,2,M,Boriana,Åberg,KVINNA,1968,1969,349,296,20,0,33,t,FRÅNVARANDE,f,f,t,f,84.81,5.73,9.46,0.00,55.01,HUVUD,2015/16,MJU11,2016-03-16,1968,84,75,0,0,9,t,f,89.29,0.00,10.71,0.00,48.81
01185B84-4297-4AFE-884A-7A78BB000F0C,0768605712423,SAKFRÅGAN,1,V,Daniel,Sestrajcic,MAN,1976,1969,349,162,110,0,77,t,JA,t,f,t,f,46.42,31.52,22.06,0.00,53.87,HUVUD,2016/17,SfU17,2017-04-27,1970,21,16,0,0,5,t,f,76.19,0.00,23.81,0.00,42.86
12A41685-152F-4BDB-ADCF-60B176CB478A,0828721176319,SAKFRÅGAN,3,M,Sten,Bergheden,MAN,1965,1963,349,277,19,0,53,t,JA,t,f,t,f,79.37,5.44,15.19,0.00,56.45,HUVUD,2012/13,SfU13,2013-06-04,1965,107,92,0,0,15,t,f,85.98,0.00,14.02,0.00,57.01
5D067170-4C25-48DE-B48C-EF7A8B751E72,0535526562910,SAKFRÅGAN,4,L,Lars,Tysklind,MAN,1953,1954,349,245,36,0,68,t,JA,t,f,t,f,70.20,10.32,19.48,0.00,54.73,HUVUD,2005/06,MJU4,2005-11-08,1955,48,38,0,0,10,t,f,79.17,0.00,20.83,0.00,54.17
FFB35F7E-A071-4850-AC6B-7B174A547E75,0371688419616,SAKFRÅGAN,3,V,Lars,Ohly,MAN,1957,1954,349,256,31,29,33,t,JA,t,f,t,f,73.35,8.88,9.46,8.31,54.73,HUVUD,2003/04,MJU1,2003-11-25,1953,30,24,0,0,6,t,f,80.00,0.00,20.00,0.00,50.00
FA72D569-65EA-4E23-AF90-81DCBA1D0D07,0853204119514,SAKFRÅGAN,4,S,Marlene,Burwick,KVINNA,1971,1973,349,45,10,0,294,t,FRÅNVARANDE,f,f,t,f,12.89,2.87,84.24,0.00,51.86,HUVUD,2019/20,UbU12,2020-05-07,1972,100,16,0,0,84,t,f,16.00,0.00,84.00,0.00,51.00
3E0F6E9E-7ED7-4258-B25C-D2E648907790,0750727320521,SAKFRÅGAN,5,S,Jonas,Gunnarsson,MAN,1980,1963,349,254,18,16,61,t,JA,t,f,t,f,72.78,5.16,17.48,4.58,56.73,HUVUD,2013/14,AU7,2014-04-03,1963,112,92,0,0,20,t,f,82.14,0.00,17.86,0.00,51.79
AAA552BC-FA61-4FD4-BD4C-911FE7C84B70,0778725756419,SAKFRÅGAN,14,M,Lisbeth,Sundén Andersson,KVINNA,1950,1969,349,196,88,0,65,t,NEJ,f,f,f,f,56.16,25.21,18.62,0.00,53.87,HUVUD,2016/17,CU15,2017-04-26,1969,84,0,69,0,15,f,f,0.00,82.14,17.86,0.00,50.00
E4FF99E9-DD1F-4338-852B-5441A61F5F1E,0130789484021,SAKFRÅGAN,8,SD,Mattias,Bäckström Johansson,MAN,1985,1973,349,212,105,0,32,t,JA,t,f,t,f,60.74,30.09,9.17,0.00,53.01,HUVUD,2018/19,FöU9,2019-04-03,1976,62,62,0,0,0,t,f,100.00,0.00,0.00,0.00,70.97
EC95FB90-9E20-4880-A13E-6C931C05A95F,0901257862125,SAKFRÅGAN,2,V,Hans,Linde,MAN,1979,1969,349,168,116,0,65,t,JA,t,f,t,f,48.14,33.24,18.62,0.00,53.87,HUVUD,2016/17,FöU7,2017-04-26,1970,21,18,0,0,3,t,f,85.71,0.00,14.29,0.00,42.86
