hjid,detail,reference_document_id,reference_type,document_reference_list_docu_0
1849750,motion 2020/21:1616 Sverigedemokratisk insolvensrätt,,BEHANDLAR,1849733
2446751,motion 2009/10:Fi266 Inkassolagen,,BEHANDLAR,2446738
1622151,motion 2005/06:Sk347 Översyn av skattetillägg,,BEHANDLAR,1622115
1593157,2021/22:TU16,,,1593156
474393,"<br/>
med anledning av prop. 2000/01:44<br/>
Föräldraförsäkring och föräldraledighet",,,474387
348923,motion 1999/2000:So326 Äldrepolitiken,,BEHANDLAR,348909
1774977,proposition 2012/13:153 Kommunal medfinansiering av statlig sjöfartsinfrastruktur,,BEHANDLAR,1774974
932568,motion 2000/01:Fö302 Krigsflygskolan,,BEHANDLAR,932564
356504,"av Tobias Krantz m.fl. (FP)<br/>
med anledning av skr. 2003/04:103<br/>
Kommittéberättelse 2004",,,356502
2222561,motion 2014/15:432 En strategi för den svenska hästnäringen,,BEHANDLAR,2222535
2656899,2015/16:SkU8,,,2656898
854722,motion 2006/07:Sk19 Skatt på trafikförsäkringspremier m.m.,,BEHANDLAR,854717
1631103,2025/26:CU19,,,1631095
2689027,Beslut 2023/24:SoU10,,,2689025
1399829,motion 2008/09:T382 Klimat och lastbilar,,BEHANDLAR,1399763
2679487,2023/24:FöU4,,,2679486
2421190,2018/19:TU5,,,2421189
