table_schema,table_name,column_name
public,view_riksdagen_committee,current_leadership_positions
public,view_riksdagen_committee,current_member_size
public,view_riksdagen_committee,current_regular_members
public,view_riksdagen_committee,current_substitute_positions
public,view_riksdagen_committee,documents_last_year
public,view_riksdagen_committee,embedded_id_detail
public,view_riksdagen_committee,embedded_id_org_code
public,view_riksdagen_committee,first_assignment_date
public,view_riksdagen_committee,last_assignment_date
public,view_riksdagen_committee,total_assignments
public,view_riksdagen_committee,total_committee_motions
public,view_riksdagen_committee,total_days_served
public,view_riksdagen_committee,total_documents
public,view_riksdagen_committee,total_follow_up_motions
public,view_riksdagen_committee,total_leadership_positions
public,view_riksdagen_committee,total_substitute_positions
public,view_riksdagen_committee_parliament_member_proposal,committee_report_url_xml
public,view_riksdagen_committee_parliament_member_proposal,document_status_url_www
public,view_riksdagen_committee_parliament_member_proposal,document_status_url_xml
public,view_riksdagen_committee_parliament_member_proposal,document_type
public,view_riksdagen_committee_parliament_member_proposal,document_url_html
public,view_riksdagen_committee_parliament_member_proposal,document_url_text
public,view_riksdagen_committee_parliament_member_proposal,embedded_id_detail
public,view_riksdagen_committee_parliament_member_proposal,embedded_id_org_code
public,view_riksdagen_committee_parliament_member_proposal,final_number
public,view_riksdagen_committee_parliament_member_proposal,hangar_id
public,view_riksdagen_committee_parliament_member_proposal,id
public,view_riksdagen_committee_parliament_member_proposal,label
public,view_riksdagen_committee_parliament_member_proposal,made_public_date
public,view_riksdagen_committee_parliament_member_proposal,number_value
public,view_riksdagen_committee_parliament_member_proposal,org
public,view_riksdagen_committee_parliament_member_proposal,rm
public,view_riksdagen_committee_parliament_member_proposal,status
public,view_riksdagen_committee_parliament_member_proposal,sub_title
public,view_riksdagen_committee_parliament_member_proposal,sub_type
public,view_riksdagen_committee_parliament_member_proposal,temp_label
public,view_riksdagen_committee_parliament_member_proposal,title
public,view_riksdagen_committee_parliament_member_proposal,total_assignments
public,view_riksdagen_committee_role_member,active
public,view_riksdagen_committee_role_member,activity_level
public,view_riksdagen_committee_role_member,committee_type
public,view_riksdagen_committee_role_member,detail
public,view_riksdagen_committee_role_member,documents_last_year
public,view_riksdagen_committee_role_member,first_name
public,view_riksdagen_committee_role_member,from_date
public,view_riksdagen_committee_role_member,last_name
public,view_riksdagen_committee_role_member,party
public,view_riksdagen_committee_role_member,person_id
public,view_riksdagen_committee_role_member,role_code
public,view_riksdagen_committee_role_member,role_id
public,view_riksdagen_committee_role_member,role_type
public,view_riksdagen_committee_role_member,to_date
public,view_riksdagen_committee_role_member,total_committee_reports
public,view_riksdagen_committee_role_member,total_days_served
public,view_riksdagen_committee_role_member,total_documents
public,view_riksdagen_committee_role_member,total_initiatives
public,view_riksdagen_committee_role_member,total_statements
public,view_riksdagen_committee_roles,embedded_id_detail
public,view_riksdagen_committee_roles,first_assignment_date
public,view_riksdagen_committee_roles,last_assignment_date
public,view_riksdagen_committee_roles,role_code
public,view_riksdagen_committee_roles,total_assignments
public,view_riksdagen_crisis_resilience_indicators,absence_rate_change
public,view_riksdagen_crisis_resilience_indicators,crisis_absence_rate
public,view_riksdagen_crisis_resilience_indicators,crisis_definitive_votes
public,view_riksdagen_crisis_resilience_indicators,crisis_party_discipline
public,view_riksdagen_crisis_resilience_indicators,crisis_period_votes
public,view_riksdagen_crisis_resilience_indicators,first_name
public,view_riksdagen_crisis_resilience_indicators,last_name
