hjid,file_name,file_size,file_type,file_url,document_attachment_list_doc_0
2381334,mot_201213_sf_6.pdf,173451,pdf,https://data.riksdagen.se/fil/68E33694-26C3-4C57-8CA0-34DB9D23787C,2381331
2662626,mot_201516__189.pdf,75751,pdf,https://data.riksdagen.se/fil/40A9E046-4FB4-4F17-A3D8-58A82495416A,2662625
1433647,mot_201314_ub_329.pdf,127224,pdf,https://data.riksdagen.se/fil/BDA14FC2-97DD-44F1-BF63-206E5985AE5B,1433645
1638504,mot_202324__914.pdf,81355,pdf,https://data.riksdagen.se/fil/9549CD4E-A02B-40BF-90A6-791BD4BEF3EA,1638503
2282993,201617JuU4_20160930142513_Publicering.pdf,260219,pdf,https://data.riksdagen.se/fil/16788BA2-7507-47F4-99FB-34CE76C8F13B,2282992
2435371,mot_200506_mj_260.pdf,164308,pdf,https://data.riksdagen.se/fil/FCFA6F95-695F-4A39-AE32-F6621EEC5D30,2435369
1361651,prop_201112__1_d24.pdf,328796,pdf,https://data.riksdagen.se/fil/926F60EF-8275-443C-8F26-B0E9C852C6FB,1361650
883085,MOT_201011_T_410.doc,59392,doc,https://data.riksdagen.se/fil/16EAFB1F-A3A8-4499-97A0-FF4B5B5C92CD,883084
2035850,mot_201415__2149.pdf,62257,pdf,https://data.riksdagen.se/fil/3EF47FC1-DA45-40DE-A896-BC14D321A479,2035849
2502039,mot_200910_k_294.pdf,132643,pdf,https://data.riksdagen.se/fil/D3FE2515-63FC-41FE-8595-A68654C4BBE2,2502037
2496621,mot_201213_k_226.pdf,138650,pdf,https://data.riksdagen.se/fil/50E2B94A-B3D1-4562-95CF-072F6C0DD8CC,2496615
1586490,MOT_201011_A_5.doc,57344,doc,https://data.riksdagen.se/fil/E89DA51E-D130-41D5-A05C-1BB147B23E56,1586489
1301264,mot_200708_ub_264.pdf,117574,pdf,https://data.riksdagen.se/fil/9994A70C-148E-49FF-A5BC-C087AF6E9B26,1301262
634373,mot_201011_u_216.pdf,137798,pdf,https://data.riksdagen.se/fil/7B4F0C77-3F1C-470D-B402-C3BED8130A43,634371
